అ	a
మాయమయ్యాయని	m aa y a m a y y aa y a n i
మాయమాటలు	m aa y a m aa tx a l u
మాయావతియే	m aa y aa w a t i y ee
మాయం	m aa y a q
మారకపు	m aa r a k a p u
మారకపోతే	m aa r a k a p oo t ee
మారకుండా	m aa r a k u q dx aa
మారట్లేదు	m aa r a tx l ee d u
మారడమే	m aa r a dx a m ee
మారడానికి	m aa r a dx aa n i k i
మారడోనా	m aa r a dx oo n aa
మారడోనాల	m aa r a dx oo n aa l a
మారడం	m aa r a dx a q
మారడంకన్నా	m aa r a dx a q k a n n aa
మారడంతో	m aa r a dx a q t oo
మారణహోమానికి	m aa r a nx a h oo m aa n i k i
మారణహోమం	m aa r a nx a h oo m a q
మారణాయుధాలతో	m aa r a nx aa y u dh aa l a t oo
మారతా	m aa r a t aa
మారతాయి	m aa r a t aa y i
మారతారా	m aa r a t aa r aa
మారతారు	m aa r a t aa r u
మారథాన్	m aa r a th aa n
మారదు	m aa r a d u
మారదంటున్నారు	m aa r a d a q tx u n n aa r u
మారని	m aa r a n i
మారనున్నాయి	m aa r a n u n n aa y i
మారనుందోననే	m aa r a n u q d oo n a n ee
మారలేదు	m aa r a l ee d u
మారాడని	m aa r aa dx a n i
మారాడన్న	m aa r aa dx a n n a
మారాడు	m aa r aa dx u
మారానని	m aa r aa n a n i
మారాయని	m aa r aa y a n i
మారాయన్నారు	m aa r aa y a n n aa r u
మారాయి	m aa r aa y i
మారారని	m aa r aa r a n i
మారారు	m aa r aa r u
మారాలని	m aa r aa l a n i
మారాలి	m aa r aa l i
మారాలంటూ	m aa r aa l a q tx uu
మారాలంటే	m aa r aa l a q tx ee
మారాలండి	m aa r aa l a q dx i
మారాల్సిన	m aa r aa l s i n a
మారి	m aa r i
మారితే	m aa r i t ee
మారిన	m aa r i n a
మారినట్లు	m aa r i n a tx l u
మారినా	m aa r i n aa
మారిపోతున్నారు	m aa r i p oo t u n n aa r u
మారిపోతుంది	m aa r i p oo t u q d i
మారిపోతే	m aa r i p oo t ee
మారిపోయారని	m aa r i p oo y aa r a n i
మారిపోయి	m aa r i p oo y i
మారిపోయినట్లు	m aa r i p oo y i n a tx l u
మారిపోయిందని	m aa r i p oo y i q d a n i
మారిపోయింది	m aa r i p oo y i q d i
మారిపోయే	m aa r i p oo y ee
మారిరది	m aa r i r a d i
మారిషస్	m aa r i sx a s
మారిస్తే	m aa r i s t ee
మారిందని	m aa r i q d a n i
మారిందన్న	m aa r i q d a n n a
మారిందన్నారు	m aa r i q d a n n aa r u
మారిందా	m aa r i q d aa
మారింది	m aa r i q d i
మారు	m aa r u
మారుకోవాలని	m aa r u k oo w aa l a n i
మారుత	m aa r u t a
మారుతది	m aa r u t a d i
మారుతానని	m aa r u t aa n a n i
మారుతాయని	m aa r u t aa y a n i
మారుతాయి	m aa r u t aa y i
మారుతారని	m aa r u t aa r a n i
మారుతారు	m aa r u t aa r u
మారుతి	m aa r u t i
మారుతున్న	m aa r u t u n n a
మారుతున్నట్లు	m aa r u t u n n a tx l u
మారుతున్నా	m aa r u t u n n aa
మారుతున్నానని	m aa r u t u n n aa n a n i
మారుతున్నాయని	m aa r u t u n n aa y a n i
మారుతున్నాయనే	m aa r u t u n n aa y a n ee
మారుతున్నాయి	m aa r u t u n n aa y i
మారుతున్నారని	m aa r u t u n n aa r a n i
మారుతున్నారన్నారు	m aa r u t u n n aa r a n n aa r u
మారుతున్నారు	m aa r u t u n n aa r u
మారుతున్నారే	m aa r u t u n n aa r ee
మారుతుండటంంతో	m aa r u t u q dx a tx a q q t oo
మారుతుందని	m aa r u t u q d a n i
మారుతుందన్నారు	m aa r u t u q d a n n aa r u
మారుతుందా	m aa r u t u q d aa
మారుతుంది	m aa r u t u q d i
మారుతుందో	m aa r u t u q d oo
మారుతూ	m aa r u t uu
మారుతే	m aa r u t ee
మారుతోంది	m aa r u t oo q d i
మారుదాం	m aa r u d aa q
మారుద్దామనే	m aa r u d d aa m a n ee
మారుపేరుగా	m aa r u p ee r u g aa
మారుమూరు	m aa r u m uu r u
మారుమూల	m aa r u m uu l a
మారుమోగాలని	m aa r u m oo g aa l a n i
మారుమోగింది	m aa r u m oo g i q d i
మారుస్తామని	m aa r u s t aa m a n i
మారుస్తున్నట్లు	m aa r u s t u n n a tx l u
మారుస్తున్నాయి	m aa r u s t u n n aa y i
మారుస్తున్నారని	m aa r u s t u n n aa r a n i
మారుస్తోందన్నారు	m aa r u s t oo q d a n n aa r u
మారే	m aa r ee
మారేడుబాక	m aa r ee dx u b aa k a
మారేందుకు	m aa r ee q d u k u
మారోచు	m aa r oo c u
మార్కాపురం	m aa r k aa p u r a q
మార్కు	m aa r k u
మార్కుల	m aa r k u l a
మార్కులు	m aa r k u l u
మార్కులూ	m aa r k u l uu
మార్కుల్లేవు	m aa r k u l l ee w u
మార్కుల్లో	m aa r k u l l oo
మార్కెట్	m aa r k e tx
మార్కెట్లో	m aa r k e tx l oo
మార్కెట్లోకి	m aa r k e tx l oo k i
మార్క్	m aa r k
మార్గదర్శక	m aa r g a d a r sh a k a
మార్గదర్శకత్వం	m aa r g a d a r sh a k a t w a q
మార్గదర్శకాలను	m aa r g a d a r sh a k aa l a n u
మార్గదర్శకాలు	m aa r g a d a r sh a k aa l u
మార్గదర్శకాల్లోనే	m aa r g a d a r sh a k aa l l oo n ee
మార్గదర్శకులుగా	m aa r g a d a r sh a k u l u g aa
మార్గదర్శకంగా	m aa r g a d a r sh a k a q g aa
మార్గదర్శకంలో	m aa r g a d a r sh a k a q l oo
మార్గమధ్యన	m aa r g a m a dh y a n a
మార్గమధ్యలో	m aa r g a m a dh y a l oo
మార్గమధ్యలోనే	m aa r g a m a dh y a l oo n ee
మార్గమేనన్నారు	m aa r g a m ee n a n n aa r u
మార్గానికి	m aa r g aa n i k i
మార్గాన్ని	m aa r g aa n n i
మార్గాల	m aa r g aa l a
మార్గాలకు	m aa r g aa l a k u
మార్గాలతో	m aa r g aa l a t oo
మార్గాలను	m aa r g aa l a n u
మార్గాలపై	m aa r g aa l a p ai
మార్గాలు	m aa r g aa l u
మార్గాల్లాగే	m aa r g aa l l aa g ee
మార్గాల్లో	m aa r g aa l l oo
మార్గం	m aa r g a q
మార్గంగా	m aa r g a q g aa
మార్గంమధ్యలో	m aa r g a q m a dh y a l oo
మార్గంలో	m aa r g a q l oo
మార్చగలిగారు	m aa r c a g a l i g aa r u
మార్చగలిగిద్ది	m aa r c a g a l i g i d d i
మార్చగలిగిన	m aa r c a g a l i g i n a
మార్చగలిగే	m aa r c a g a l i g ee
మార్చడానికి	m aa r c a dx aa n i k i
మార్చడు	m aa r c a dx u
మార్చడం	m aa r c a dx a q
మార్చనున్నారు	m aa r c a n u n n aa r u
మార్చలేరని	m aa r c a l ee r a n i
మార్చారని	m aa r c aa r a n i
మార్చారు	m aa r c aa r u
మార్చాలని	m aa r c aa l a n i
మార్చాలన్నారు	m aa r c aa l a n n aa r u
మార్చాలి	m aa r c aa l i
మార్చాలంటే	m aa r c aa l a q tx ee
మార్చాల్సి	m aa r c aa l s i
మార్చి	m aa r c i
మార్చిన	m aa r c i n a
మార్చినాటికి	m aa r c i n aa tx i k i
మార్చిలో	m aa r c i l oo
మార్చివేస్తాయని	m aa r c i w ee s t aa y a n i
మార్చివేస్తూ	m aa r c i w ee s t uu
మార్చిందని	m aa r c i q d a n i
మార్చింది	m aa r c i q d i
మార్చు	m aa r c u
మార్చుకుని	m aa r c u k u n i
మార్చుకునేందుకే	m aa r c u k u n ee q d u k ee
మార్చుకున్నారా	m aa r c u k u n n aa r aa
మార్చుకున్నారు	m aa r c u k u n n aa r u
మార్చుకున్నావా	m aa r c u k u n n aa w aa
మార్చుకుంటారు	m aa r c u k u q tx aa r u
మార్చుకుంటున్నారు	m aa r c u k u q tx u n n aa r u
మార్చుకుంటూ	m aa r c u k u q tx uu
మార్చుకుంటే	m aa r c u k u q tx ee
మార్చుకుందాం	m aa r c u k u q d aa q
మార్చుకుంది	m aa r c u k u q d i
మార్చుకొని	m aa r c u k o n i
మార్చుకొనే	m aa r c u k o n ee
మార్చుకొనేందుకుగాను	m aa r c u k o n ee q d u k u g aa n u
మార్చుకో	m aa r c u k oo
మార్చుకోకపోతే	m aa r c u k oo k a p oo t ee
మార్చుకోకుంటే	m aa r c u k oo k u q tx ee
మార్చుకోగలరు	m aa r c u k oo g a l a r u
మార్చుకోలేక	m aa r c u k oo l ee k a
మార్చుకోలేకపోతే	m aa r c u k oo l ee k a p oo t ee
మార్చుకోలేదని	m aa r c u k oo l ee d a n i
మార్చుకోవడానికి	m aa r c u k oo w a dx aa n i k i
మార్చుకోవాడానికి	m aa r c u k oo w aa dx aa n i k i
మార్చుకోవాలని	m aa r c u k oo w aa l a n i
మార్చుకోవాలనే	m aa r c u k oo w aa l a n ee
మార్చుకోవాలి	m aa r c u k oo w aa l i
మార్చుకోవాలంటూ	m aa r c u k oo w aa l a q tx uu
మార్చుకోవాల్పిందే	m aa r c u k oo w aa l p i q d ee
మార్చుకోండి	m aa r c u k oo q dx i
మార్చుతూ	m aa r c u t uu
మార్చురికీ	m aa r c u r i k ii
మార్చురీకి	m aa r c u r ii k i
మార్చురీలో	m aa r c u r ii l oo
మార్చే	m aa r c ee
మార్చేగల్గేటి	m aa r c ee g a l g ee tx i
మార్చేలా	m aa r c ee l aa
మార్చేశారు	m aa r c ee sh aa r u
మార్చేసిన	m aa r c ee s i n a
మార్చేసుకుంటున్నారు	m aa r c ee s u k u q tx u n n aa r u
మార్చేసుకొని	m aa r c ee s u k o n i
మార్చేస్	m aa r c ee s
మార్చేస్తాడు	m aa r c ee s t aa dx u
మార్చేందుకు	m aa r c ee q d u k u
మార్చోచ్చన్నయా	m aa r c oo c c a n n a y aa
మార్చ్	m aa r c
మార్టిన్	m aa r tx i n
మార్టూరులో	m aa r tx uu r u l oo
మార్టం	m aa r tx a q
మార్ట్	m aa r tx
మార్పడిని	m aa r p a dx i n i
మార్పిడి	m aa r p i dx i
మార్పిడిని	m aa r p i dx i n i
మార్పిడిలో	m aa r p i dx i l oo
మార్పిస్తారు	m aa r p i s t aa r u
మార్పు	m aa r p u
మార్పునకు	m aa r p u n a k u
మార్పుల	m aa r p u l a
మార్పులకు	m aa r p u l a k u
మార్పులతో	m aa r p u l a t oo
మార్పులపై	m aa r p u l a p ai
మార్పులు	m aa r p u l u
మార్పులూ	m aa r p u l uu
మార్పులోనైంది	m aa r p u l oo n ai q d i
మార్పేమీ	m aa r p ee m ii
మార్ఫింగ్	m aa r ph i q g
మార్మోగింది	m aa r m oo g i q d i
మార్లు	m aa r l u
మార్షల్	m aa r sx a l
మార్స్	m aa r s
మాల	m aa l a
మాలకొండయ్య	m aa l a k o q dx a y y a
మాలను	m aa l a n u
మాలా	m aa l aa
మాలాగా	m aa l aa g aa
మాలాంటి	m aa l aa q tx i
మాలిక్	m aa l i k
మాలో	m aa l oo
మాలోని	m aa l oo n i
మాలౌదా	m aa l au d aa
మాల్	m aa l
మాల్కాజిగిరి	m aa l k aa j i g i r i
మాల్యాద్రి	m aa l y aa d r i
మాల్లోలో	m aa l l oo l oo
మాళవిక	m aa lx a w i k a
మావయ్య	m aa w a y y a
మావాడే	m aa w aa dx ee
మావుల్లమ్మ	m aa w u l l a m m a
మావై	m aa w ai
మావైపు	m aa w ai p u
మావో	m aa w oo
మావోయి	m aa w oo y i
మావోయిస్టు	m aa w oo y i s tx u
మావోయిస్టును	m aa w oo y i s tx u n u
మావోయిస్టుల	m aa w oo y i s tx u l a
మావోయిస్టులకు	m aa w oo y i s tx u l a k u
మావోయిస్టులు	m aa w oo y i s tx u l u
మాసాని	m aa s aa n i
మాసాల్లోపు	m aa s aa l l oo p u
మాసం	m aa s a q
మాసంలో	m aa s a q l oo
మాస్	m aa s
మాస్కులు	m aa s k u l u
మాస్కోలకే	m aa s k oo l a k ee
మాహారాష్ట్రా	m aa h aa r aa sx tx r aa
మాండలికాలు	m aa q dx a l i k aa l u
మాంసపు	m aa q s a p u
మాంసలో	m aa q s a l oo
మాంసాన్ని	m aa q s aa n n i
మాంసాలు	m aa q s aa l u
మాంసాహారాన్ని	m aa q s aa h aa r aa n n i
మాంసం	m aa q s a q
మి	m i
మిక్కిలినేని	m i k k i l i n ee n i
మిగత	m i g a t a
మిగతా	m i g a t aa
మిగతాచోట్ల	m i g a t aa c oo tx l a
మిగతావి	m i g a t aa w i
మిగల్లేదన్న	m i g a l l ee d a n n a
మిగితా	m i g i t aa
మిగితాది	m i g i t aa d i
మిగిలాడు	m i g i l aa dx u
మిగిలాయని	m i g i l aa y a n i
మిగిలాయి	m i g i l aa y i
మిగిలి	m i g i l i
మిగిలిన	m i g i l i n a
మిగిలినవారితో	m i g i l i n a w aa r i t oo
మిగిలినవారిని	m i g i l i n a w aa r i n i
మిగిలినవారు	m i g i l i n a w aa r u
మిగిలినవి	m i g i l i n a w i
మిగిలిపోతారని	m i g i l i p oo t aa r a n i
మిగిలిపోతున్నాయి	m i g i l i p oo t u n n aa y i
మిగిలిపోతున్నారు	m i g i l i p oo t u n n aa r u
మిగిలిపోతుందన్నారు	m i g i l i p oo t u q d a n n aa r u
మిగిలిపోయారని	m i g i l i p oo y aa r a n i
మిగిలిపోయారు	m i g i l i p oo y aa r u
మిగిలిపోయిందని	m i g i l i p oo y i q d a n i
మిగిలిపోవడం	m i g i l i p oo w a dx a q
మిగిలిపోవాల్సిన	m i g i l i p oo w aa l s i n a
మిగిలించింది	m i g i l i q c i q d i
మిగిలిందని	m i g i l i q d a n i
మిగిలింది	m i g i l i q d i
మిగిలిందంతా	m i g i l i q d a q t aa
మిగిలుంది	m i g i l u q d i
మిగిలే	m i g i l ee
మిగిల్చింది	m i g i l c i q d i
మిగులు	m i g u l u
మిగులుతోంది	m i g u l u t oo q d i
మిగులుస్తాయి	m i g u l u s t aa y i
మిగుల్చుతున్నారు	m i g u l c u t u n n aa r u
మిగుల్తుంది	m i g u l t u q d i
మిచిగాన్	m i c i g aa n
మిచెల్	m i c e l
మిచెల్లీకి	m i c e l l ii k i
మిచెల్లో	m i c e l l oo
మిచ్చాయి	m i c c aa y i
మిట్టల్	m i tx tx a l
మిఠాయి	m i txh aa y i
మిడియం	m i dx i y a q
మిడ్	m i dx
మితిమీరడంతో	m i t i m ii r a dx a q t oo
మితంగా	m i t a q g aa
మిత్ర	m i t r a
మిత్రపక్షం	m i t r a p a k sx a q
మిత్రపక్షంగా	m i t r a p a k sx a q g aa
మిత్రబంధం	m i t r a b a q dh a q
మిత్రమ	m i t r a m a
మిత్రమా	m i t r a m aa
మిత్రా	m i t r aa
మిత్రాపై	m i t r aa p ai
మిత్రుడని	m i t r u dx a n i
మిత్రుడిగా	m i t r u dx i g aa
మిత్రుడిని	m i t r u dx i n i
మిత్రుడు	m i t r u dx u
మిత్రుణ్ణి	m i t r u nx nx i
మిత్రులతో	m i t r u l a t oo
మిత్రులమని	m i t r u l a m a n i
మిత్రులు	m i t r u l u
మిత్రులే	m i t r u l ee
మిత్రుల్ని	m i t r u l n i
మిథాలీ	m i th aa l ii
మిథున్	m i th u n
మిద	m i d a
మిది	m i d i
మిదే	m i d ee
మిద్దె	m i d d e
మిధున	m i dh u n a
మినప్పప్పు	m i n a p p a p p u
మినరల్	m i n a r a l
మినల్	m i n a l
మినహా	m i n a h aa
మినహాయిరపు	m i n a h aa y i r a p u
మినహాయిస్తూ	m i n a h aa y i s t uu
మినహాయిస్తే	m i n a h aa y i s t ee
మినహాయించకుండా	m i n a h aa y i q c a k u q dx aa
మినహాయించారు	m i n a h aa y i q c aa r u
మినహాయించాలని	m i n a h aa y i q c aa l a n i
మినహాయించింది	m i n a h aa y i q c i q d i
మినహాయించేశారు	m i n a h aa y i q c ee sh aa r u
మినహాయింపు	m i n a h aa y i q p u
మినహాయింపులకు	m i n a h aa y i q p u l a k u
మినీ	m i n ii
మినుము	m i n u m u
మిన్	m i n
మిన్న	m i n n a
మిన్నంటాయి	m i n n a q tx aa y i
మిమిక్రీతో	m i m i k r ii t oo
మిమ్మల్ని	m i m m a l n i
మియాజావా	m i y aa j aa w aa
మియాపూర్	m i y aa p uu r
మిర	m i r a
మిరప	m i r a p a
మిరపకాయలు	m i r a p a k aa y a l u
మిరియాల	m i r i y aa l a
మిరు	m i r u
మిరుమిట్లు	m i r u m i tx l u
మిరుండే	m i r u q dx ee
మిరూ	m i r uu
మిరే	m i r ee
మిర్చి	m i r c i
మిర్చికి	m i r c i k i
మిర్చిని	m i r c i n i
మిర్చియార్డు	m i r c i y aa r dx u
మిర్చియార్డులో	m i r c i y aa r dx u l oo
మిర్జా	m i r j aa
మిర్జాకు	m i r j aa k u
మిర్యాల	m i r y aa l a
మిర్యాలగూడ	m i r y aa l a g uu dx a
మిర్రర్	m i r r a r
మిలటరీ	m i l a tx a r ii
మిలన్	m i l a n
మిలిటరీ	m i l i tx a r ii
మిల్	m i l
మిల్కాసింగ్	m i l k aa s i q g
మిల్లర్	m i l l a r
మిల్లర్లదే	m i l l a r l a d ee
మిల్లర్లు	m i l l a r l u
మిల్లు	m i l l u
మిల్లును	m i l l u n u
మిల్లుల	m i l l u l a
మిల్లులు	m i l l u l u
మిళితమైపోయాడు	m i lx i t a m ai p oo y aa dx u
మిశ్రమాన్ని	m i sh r a m aa n n i
మిశ్రమం	m i sh r a m a q
మిశ్రాకు	m i sh r aa k u
మిషన్	m i sx a n
మిషన్లు	m i sx a n l u
మిసైల్	m i s ai l
మిస్టరీ	m i s tx a r ii
మిస్బా	m i s b aa
మిస్సయ్యాడు	m i s s a y y aa dx u
మింగకూడదు	m i q g a k uu dx a d u
మింగాడు	m i q g aa dx u
మింగి	m i q g i
మింగింది	m i q g i q d i
మింగుడు	m i q g u dx u
మింగ్	m i q g
మించడానికి	m i q c a dx aa n i k i
మించి	m i q c i
మించిన	m i q c i n a
మించినవారు	m i q c i n a w aa r u
మించిపోయామని	m i q c i p oo y aa m a n i
మించు	m i q c u
మింతో	m i q t oo
మింద	m i q d a
మిందే	m i q d ee
మీ	m ii
మీకి	m ii k i
మీకిష్టమైనోళ్ళు	m ii k i sx tx a m ai n oo lx lx u
మీకు	m ii k u
మీకున్న	m ii k u n n a
మీకులో	m ii k u l oo
మీకుందా	m ii k u q d aa
మీకూ	m ii k uu
మీకెప్పుడైనా	m ii k e p p u dx ai n aa
మీకెవరు	m ii k e w a r u
మీకెంత	m ii k e q t a
మీకెందుకంత	m ii k e q d u k a q t a
మీకే	m ii k ee
మీకేదైనా	m ii k ee d ai n aa
మీకేమన్న	m ii k ee m a n n a
మీకేమన్నా	m ii k ee m a n n aa
మీకేం	m ii k ee q
మీకేంటి	m ii k ee q tx i
మీకండి	m ii k a q dx i
మీక్	m ii k
మీటర్	m ii tx a r
మీటర్ల	m ii tx a r l a
మీటర్లకు	m ii tx a r l a k u
మీటింగ్	m ii tx i q g
మీట్లు	m ii tx l u
మీడియా	m ii dx i y aa
మీడియాకు	m ii dx i y aa k u
మీడియాతో	m ii dx i y aa t oo
మీడియాలో	m ii dx i y aa l oo
మీడియో	m ii dx i y oo
మీడియం	m ii dx i y a q
మీతో	m ii t oo
మీతోనే	m ii t oo n ee
మీద	m ii d a
మీదకి	m ii d a k i
మీదకు	m ii d a k u
మీదగా	m ii d a g aa
మీదట	m ii d a tx a
మీదని	m ii d a n i
మీదనే	m ii d a n ee
మీదా	m ii d aa
మీది	m ii d i
మీదికకు	m ii d i k a k u
మీదికి	m ii d i k i
మీదు	m ii d u
మీదుగా	m ii d u g aa
మీదుగానే	m ii d u g aa n ee
మీదున్న	m ii d u n n a
మీదుండాలి	m ii d u q dx aa l i
మీదుంది	m ii d u q d i
మీదే	m ii d ee
మీదేవురు	m ii d ee w u r u
మీదేవూరు	m ii d ee w uu r u
మీదేసుకోవాల్సి	m ii d ee s u k oo w aa l s i
మీదేం	m ii d ee q
మీదంటే	m ii d a q tx ee
మీదంతా	m ii d a q t aa
మీన	m ii n a
మీనన్	m ii n a n
మీనమేషాలు	m ii n a m ee sx aa l u
మీనహ	m ii n a h a
మీపేరు	m ii p ee r u
మీమాంసలో	m ii m aa q s a l oo
మీము	m ii m u
మీర	m ii r a
మీరడిగినప్పుడు	m ii r a dx i g i n a p p u dx u
మీరనట్టు	m ii r a n a tx tx u
మీరనుకున్నది	m ii r a n u k u n n a d i
మీరనుకుంటున్నారు	m ii r a n u k u q tx u n n aa r u
మీరన్న	m ii r a n n a
మీరన్నట్టు	m ii r a n n a tx tx u
మీరన్నట్టుగ	m ii r a n n a tx tx u g a
మీరన్నట్టుగా	m ii r a n n a tx tx u g aa
మీరన్నది	m ii r a n n a d i
మీరన్నా	m ii r a n n aa
మీరన్నారు	m ii r a n n aa r u
మీరలా	m ii r a l aa
మీరా	m ii r aa
మీరి	m ii r i
మీరిచ్చే	m ii r i c c ee
మీరిది	m ii r i d i
మీరిద్దరూ	m ii r i d d a r uu
మీరిప్పుడు	m ii r i p p u dx u
మీరిలా	m ii r i l aa
మీరింకా	m ii r i q k aa
మీరిందాక	m ii r i q d aa k a
మీరీ	m ii r ii
మీరు	m ii r u
మీరుచే	m ii r u c ee
మీరున్నప్పుడు	m ii r u n n a p p u dx u
మీరున్నారు	m ii r u n n aa r u
మీరుండోచ్చేమో	m ii r u q dx oo c c ee m oo
మీరూ	m ii r uu
మీరెక్కడ	m ii r e k k a dx a
మీరెక్కడి	m ii r e k k a dx i
మీరెక్కడున్నారో	m ii r e k k a dx u n n aa r oo
మీరెట్లా	m ii r e tx l aa
మీరెన్ని	m ii r e n n i
మీరెప్పుడన్నా	m ii r e p p u dx a n n aa
మీరెప్పుడూ	m ii r e p p u dx uu
మీరెప్పుడైనా	m ii r e p p u dx ai n aa
మీరెలా	m ii r e l aa
మీరెంటొ	m ii r e q tx o
మీరెంత	m ii r e q t a
మీరెంతమంది	m ii r e q t a m a q d i
మీరెందుకు	m ii r e q d u k u
మీరే	m ii r ee
మీరేదో	m ii r ee d oo
మీరేమనుకుంటున్నారు	m ii r ee m a n u k u q tx u n n aa r u
మీరేమన్న	m ii r ee m a n n a
మీరేమన్నా	m ii r ee m a n n aa
మీరేమి	m ii r ee m i
మీరేమైన	m ii r ee m ai n a
మీరేమైనా	m ii r ee m ai n aa
మీరేమో	m ii r ee m oo
మీరేమంటారు	m ii r ee m a q tx aa r u
మీరేం	m ii r ee q
మీరైతే	m ii r ai t ee
మీరొకసారి	m ii r o k a s aa r i
మీరంటారు	m ii r a q tx aa r u
మీరండి	m ii r a q dx i
మీరందరూ	m ii r a q d a r uu
మీరందుకు	m ii r a q d u k u
మీర్	m ii r
మీర్చేప్పింది	m ii r c ee p p i q d i
మీర్జా	m ii r j aa
మీలాగే	m ii l aa g ee
మీలాంటి	m ii l aa q tx i
మీలాంటివాళ్లు	m ii l aa q tx i w aa lx l u
మీలిగి	m ii l i g i
మీలుదూరంలో	m ii l u d uu r a q l oo
మీలో	m ii l oo
మీషన్	m ii sx a n
మీసాలు	m ii s aa l u
మీసేవ	m ii s ee w a
ము	m u
ముకుంద	m u k u q d a
ముకేష్	m u k ee sx
ముక్క	m u k k a
ముక్కకున్న	m u k k a k u n n a
ముక్కలు	m u k k a l u
ముక్కలుగా	m u k k a l u g aa
ముక్కిపోయిన	m u k k i p oo y i n a
ముక్కు	m u k k u
ముక్కున	m u k k u n a
ముక్కుపిండి	m u k k u p i q dx i
ముక్కుపుడక	m u k k u p u dx a k a
ముక్తి	m u k t i
ముక్తేశ్వరస్వామి	m u k t ee sh w a r a s w aa m i
ముక్తేశ్వరం	m u k t ee sh w a r a q
ముక్య	m u k y a
ముక్యమంత్రి	m u k y a m a q t r i
ముక్యమంత్రులు	m u k y a m a q t r u l u
ముక్యం	m u k y a q
ముఖ	m u kh a
ముఖచిత్రం	m u kh a c i t r a q
ముఖద్వారాలను	m u kh a d w aa r aa l a n u
ముఖమే	m u kh a m ee
ముఖర్జీ	m u kh a r j ii
ముఖర్జీకి	m u kh a r j ii k i
ముఖర్జీని	m u kh a r j ii n i
ముఖర్జీలతోను	m u kh a r j ii l a t oo n u
ముఖాన	m u kh aa n a
ముఖానికి	m u kh aa n i k i
ముఖాభివృద్దికి	m u kh aa bh i w rq d d i k i
ముఖాముఖి	m u kh aa m u kh i
ముఖి	m u kh i
ముఖేష్	m u kh ee sx
ముఖం	m u kh a q
ముఖంపై	m u kh a q p ai
ముఖ్మమంత్రికి	m u kh m a m a q t r i k i
ముఖ్య	m u kh y a
ముఖ్యపాత్ర	m u kh y a p aa t r a
ముఖ్యమన	m u kh y a m a n a
ముఖ్యమని	m u kh y a m a n i
ముఖ్యము	m u kh y a m u
ముఖ్యమైన	m u kh y a m ai n a
ముఖ్యమైనవని	m u kh y a m ai n a w a n i
ముఖ్యమైనవి	m u kh y a m ai n a w i
ముఖ్యమో	m u kh y a m oo
ముఖ్యమంత్రి	m u kh y a m a q t r i
ముఖ్యమంత్రికి	m u kh y a m a q t r i k i
ముఖ్యమంత్రిగా	m u kh y a m a q t r i g aa
ముఖ్యమంత్రితో	m u kh y a m a q t r i t oo
ముఖ్యమంత్రిని	m u kh y a m a q t r i n i
ముఖ్యమంత్రినే	m u kh y a m a q t r i n ee
ముఖ్యమంత్రిపై	m u kh y a m a q t r i p ai
ముఖ్యమంత్రుల	m u kh y a m a q t r u l a
ముఖ్యమంత్రులకు	m u kh y a m a q t r u l a k u
ముఖ్యమంత్రులతో	m u kh y a m a q t r u l a t oo
ముఖ్యమంత్రులను	m u kh y a m a q t r u l a n u
ముఖ్యమంత్రులిద్దరూ	m u kh y a m a q t r u l i d d a r uu
ముఖ్యమంత్రులు	m u kh y a m a q t r u l u
ముఖ్యమంత్రులైన	m u kh y a m a q t r u l ai n a
ముఖ్యమంత్రులం	m u kh y a m a q t r u l a q
ముఖ్యమంత్రే	m u kh y a m a q t r ee
ముఖ్యమంత్రేనని	m u kh y a m a q t r ee n a n i
ముఖ్యవక్తగా	m u kh y a w a k t a g aa
ముఖ్యుల్లో	m u kh y u l l oo
ముఖ్యం	m u kh y a q
ముఖ్యంకాదనే	m u kh y a q k aa d a n ee
ముఖ్యంగా	m u kh y a q g aa
ముగి	m u g i
ముగియగానే	m u g i y a g aa n ee
ముగియనున్నది	m u g i y a n u n n a d i
ముగియనుంది	m u g i y a n u q d i
ముగిలిన	m u g i l i n a
ముగిశాయని	m u g i sh aa y a n i
ముగిశాయి	m u g i sh aa y i
ముగిసి	m u g i s i
ముగిసిన	m u g i s i n a
ముగిసినట్లు	m u g i s i n a tx l u
ముగిసినట్లే	m u g i s i n a tx l ee
ముగిసినా	m u g i s i n aa
ముగిసిపోయిరది	m u g i s i p oo y i r a d i
ముగిసిపోయిందనుకున్న	m u g i s i p oo y i q d a n u k u n n a
ముగిసిపోయే	m u g i s i p oo y ee
ముగిసింది	m u g i s i q d i
ముగిసే	m u g i s ee
ముగిసేసరికి	m u g i s ee s a r i k i
ముగిసేందుకు	m u g i s ee q d u k u
ముగించగా	m u g i q c a g aa
ముగించాడు	m u g i q c aa dx u
ముగించారు	m u g i q c aa r u
ముగించాలని	m u g i q c aa l a n i
ముగించాలి	m u g i q c aa l i
ముగించాలో	m u g i q c aa l oo
ముగించి	m u g i q c i
ముగించికుని	m u g i q c i k u n i
ముగించుకుని	m u g i q c u k u n i
ముగించుకొని	m u g i q c u k o n i
ముగించుకొంది	m u g i q c u k o q d i
ముగింపు	m u g i q p u
ముగురు	m u g u r u
ముగుస్తున్నప్పటికీ	m u g u s t u n n a p p a tx i k ii
ముగ్గరు	m u g g a r u
ముగ్గురి	m u g g u r i
ముగ్గురికి	m u g g u r i k i
ముగ్గురికీ	m u g g u r i k ii
ముగ్గురిని	m u g g u r i n i
ముగ్గురినీ	m u g g u r i n ii
